Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3
Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
0.000,1.54,,,0.000,0.12,,,0.000,0.23,,
0.010,0.85,-34.03,,0.010,0.12,-0.01,,0.010,0.23,0.00,
0.020,0.86,0.24,1694.39,0.020,0.12,-0.01,-3.47E-14,0.020,0.23,0.00,-0.03
0.030,0.86,-0.14,-18.70,0.030,0.12,-0.01,-3.45E-14,0.030,0.23,-5.71E-4,0.43
0.040,0.86,-0.13,308.75,0.040,0.12,-0.01,0.02,0.040,0.23,0.01,0.46
0.050,0.86,6.04,-1138.89,0.050,0.12,-0.01,-0.43,0.050,0.23,0.01,0.00
0.060,0.98,-22.91,-1714.27,0.060,0.12,-0.02,-0.45,0.060,0.23,0.01,1.73E-16
0.070,0.40,-28.25,1162.40,0.070,0.12,-0.02,6.89E-14,0.070,0.23,0.01,-6.91E-14
0.080,0.41,0.34,2476.38,0.080,0.12,-0.02,-1.73E-16,0.080,0.23,0.01,0.03
0.090,0.40,21.28,1083.12,0.090,0.12,-0.02,-0.02,0.090,0.23,0.01,-0.46
0.100,0.84,22.00,-1047.35,0.100,0.12,-0.02,0.43,0.100,0.23,-5.72E-4,-0.03
0.110,0.84,0.33,-1080.51,0.110,0.12,-0.01,0.46,0.110,0.23,0.01,0.49
0.120,0.84,0.39,0.56,0.120,0.12,-0.01,-0.45,0.120,0.23,0.01,-0.46
0.130,0.85,0.34,-25.28,0.130,0.12,-0.02,-0.02,0.130,0.23,-5.72E-4,-0.03
0.140,0.85,-0.12,-70.83,0.140,0.12,-0.01,0.45,0.140,0.23,0.01,0.49
0.150,0.85,-1.07,-96.86,0.150,0.12,-0.01,-0.02,0.150,0.23,0.01,-0.43
0.160,0.83,-2.05,-51.96,0.160,0.12,-0.01,0.43,0.160,0.23,0.00,-0.46
0.170,0.81,-2.11,-7.96,0.170,0.12,0.00,0.45,0.170,0.23,0.00,0.00
0.180,0.79,-2.21,0.50,0.180,0.12,0.00,0.00,0.180,0.23,0.00,0.00
0.190,0.76,-2.10,9.83,0.190,0.12,0.00,-0.02,0.190,0.23,0.00,0.00
0.200,0.74,-2.02,8.57,0.200,0.12,-3.05E-4,0.37,0.200,0.23,0.00,0.03
0.210,0.72,-1.93,9.52,0.210,0.12,0.01,2.10,0.210,0.23,5.73E-4,-0.43
0.220,0.71,-1.83,10.13,0.220,0.12,0.04,3.56,0.220,0.23,-0.01,-0.49
0.230,0.69,-1.73,9.52,0.230,0.12,0.08,0.14,0.230,0.23,-0.01,0.46
0.240,0.67,-1.64,10.02,0.240,0.12,0.04,-3.93,0.240,0.23,5.72E-4,0.03
0.250,0.66,-1.53,10.10,0.250,0.12,0.00,-2.23,0.250,0.23,-0.01,-0.49
0.260,0.64,-1.43,9.58,0.260,0.12,0.00,0.00,0.260,0.23,-0.01,0.43
0.270,0.63,-1.34,9.57,0.270,0.12,0.00,0.00,0.270,0.23,0.00,0.46
0.280,0.61,-1.24,9.56,0.280,0.12,0.00,0.00,0.280,0.23,0.00,0.00
0.290,0.60,-1.15,9.48,0.290,0.12,0.00,0.00,0.290,0.23,0.00,0.00
0.300,0.59,-1.05,9.98,0.300,0.12,0.00,-0.02,0.300,0.23,0.00,0.00
0.310,0.58,-0.95,10.11,0.310,0.12,-3.10E-4,0.43,0.310,0.23,0.00,0.00
0.320,0.57,-0.85,9.10,0.320,0.12,0.01,0.46,0.320,0.23,0.00,0.00
0.330,0.56,-0.77,9.02,0.330,0.12,0.01,-0.43,0.330,0.23,0.00,0.00
0.340,0.56,-0.67,9.51,0.340,0.12,0.00,-0.46,0.340,0.23,0.00,0.03
0.350,0.55,-0.57,9.57,0.350,0.12,-3.10E-4,0.20,0.350,0.23,5.72E-4,-0.43
0.360,0.54,-0.48,9.07,0.360,0.12,0.00,7.10,0.360,0.23,-0.01,-0.49
0.370,0.54,-0.39,8.92,0.370,0.12,0.14,1.36,0.370,0.23,-0.01,0.43
0.380,0.54,-0.30,9.98,0.380,0.13,0.03,-13.28,0.380,0.23,0.00,0.46
0.390,0.53,-0.19,9.54,0.390,0.12,-0.12,-2.86,0.390,0.23,0.00,-0.03
0.400,0.53,-0.11,8.97,0.400,0.12,-0.03,5.32,0.400,0.23,-5.71E-4,0.43
0.410,0.53,-0.01,9.46,0.410,0.12,-0.02,0.86,0.410,0.23,0.01,0.49
0.420,0.53,0.08,9.45,0.420,0.12,-0.01,0.88,0.420,0.23,0.01,-0.43
0.430,0.53,0.17,9.51,0.430,0.12,0.00,0.45,0.430,0.23,0.00,-0.46
0.440,0.54,0.27,9.01,0.440,0.12,0.00,0.02,0.440,0.23,0.00,0.00
0.450,0.54,0.35,8.93,0.450,0.12,3.10E-4,-0.43,0.450,0.23,0.00,0.03
0.460,0.54,0.45,9.42,0.460,0.12,-0.01,-0.46,0.460,0.23,5.72E-4,-0.43
0.470,0.55,0.54,9.41,0.470,0.12,-0.01,0.43,0.470,0.23,-0.01,-0.49
0.480,0.55,0.64,9.48,0.480,0.12,0.00,0.45,0.480,0.23,-0.01,0.46
0.490,0.56,0.73,8.90,0.490,0.12,0.00,0.00,0.490,0.23,5.71E-4,0.03
0.500,0.57,0.82,9.25,0.500,0.12,0.00,0.00,0.500,0.23,-0.01,-0.46
0.510,0.58,0.92,10.31,0.510,0.12,0.00,0.00,0.510,0.23,-0.01,1.13E-15
0.520,0.59,1.02,9.95,0.520,0.12,0.00,0.02,0.520,0.23,-0.01,-6.94E-14
0.530,0.60,1.12,8.94,0.530,0.12,3.10E-4,-0.43,0.530,0.23,-0.01,0.00
0.540,0.61,1.20,8.78,0.540,0.12,-0.01,-0.46,0.540,0.23,-0.01,6.94E-14
0.550,0.62,1.29,9.86,0.550,0.12,-0.01,0.45,0.550,0.23,-0.01,0.03
0.560,0.64,1.40,9.42,0.560,0.12,3.09E-4,0.02,0.560,0.23,-0.01,-0.43
0.570,0.65,1.48,8.83,0.570,0.12,-0.01,-0.46,0.570,0.23,-0.02,-0.46
0.580,0.67,1.57,9.33,0.580,0.12,-0.01,0.43,0.580,0.23,-0.02,-6.94E-14
0.590,0.68,1.67,9.32,0.590,0.12,0.00,0.46,0.590,0.23,-0.02,6.94E-14
0.600,0.70,1.76,9.22,0.600,0.12,3.09E-4,-0.43,0.600,0.23,-0.02,-4.68E-15
0.610,0.72,1.85,9.73,0.610,0.12,-0.01,-0.46,0.610,0.23,-0.02,-4.68E-15
0.620,0.74,1.95,9.91,0.620,0.12,-0.01,0.45,0.620,0.23,-0.02,-0.03
0.630,0.76,2.05,10.15,0.630,0.12,3.08E-4,0.02,0.630,0.23,-0.02,0.43
0.640,0.78,2.16,5.55,0.640,0.12,-0.01,-0.45,0.640,0.23,-0.01,0.49
0.650,0.80,2.16,2.52,0.650,0.12,-0.01,0.00,0.650,0.23,-0.01,-0.46
0.660,0.82,2.21,-26.52,0.660,0.12,-0.01,0.00,0.660,0.23,-0.02,-0.03
0.670,0.84,1.63,-99.67,0.670,0.12,-0.01,-3.47E-14,0.670,0.23,-0.01,0.49
0.680,0.85,0.21,-103.54,0.680,0.12,-0.01,-3.47E-14,0.680,0.23,-0.01,-0.46
0.690,0.85,-0.44,-23.09,0.690,0.12,-0.01,0.02,0.690,0.23,-0.02,-0.03
0.700,0.84,-0.25,19.51,0.700,0.12,-0.01,-0.45,0.700,0.23,-0.01,0.49
0.710,0.84,-0.05,-1.68,0.710,0.12,-0.02,-0.03,0.710,0.23,-0.01,-0.46
0.720,0.84,-0.28,1.00,0.720,0.12,-0.01,0.86,0.720,0.23,-0.02,-0.03
0.730,0.84,-0.03,23.51,0.730,0.12,-3.06E-4,0.72,0.730,0.23,-0.01,0.46
0.740,0.84,0.19,-49.25,0.740,0.12,0.01,4.75,0.740,0.23,-0.01,-6.70E-14
0.750,0.84,-1.02,-73.23,0.750,0.12,0.09,4.61,0.750,0.23,-0.01,-1.39E-13
0.760,0.82,-1.27,6.91,0.760,0.12,0.10,-4.50,0.760,0.23,-0.01,-6.94E-14
0.770,0.81,-0.88,76.43,0.770,0.12,0.00,1.07,0.770,0.23,-0.01,0.03
0.780,0.80,0.25,63.41,0.780,0.12,0.12,7.76,0.780,0.23,-0.01,-0.46
0.790,0.82,0.39,-33.28,0.790,0.13,0.16,-4.99,0.790,0.23,-0.02,-0.03
0.800,0.81,-0.41,-53.07,0.800,0.13,0.02,-10.12,0.800,0.22,-0.01,0.46
0.810,0.81,-0.67,4.85,0.810,0.13,-0.04,-3.38,0.810,0.22,-0.01,-0.03
0.820,0.80,-0.31,19.50,0.820,0.13,-0.05,-5.16,0.820,0.22,-0.01,0.43
0.830,0.81,-0.28,-9.10,0.830,0.13,-0.15,-5.54,0.830,0.22,0.00,0.43
0.840,0.79,-0.50,28.98,0.840,0.12,-0.16,5.10,0.840,0.22,-5.62E-4,0.37
0.850,0.80,0.30,52.31,0.850,0.12,-0.04,7.09,0.850,0.22,0.01,1.21
0.860,0.80,0.55,-38.37,0.860,0.12,-0.02,1.34,0.860,0.22,0.02,2.44
0.870,0.81,-0.47,-67.36,0.870,0.12,-0.02,-0.02,0.870,0.23,0.06,4.56
0.880,0.79,-0.80,35.46,0.880,0.12,-0.02,0.41,0.880,0.23,0.11,7.16
0.890,0.79,0.24,79.89,0.890,0.12,-0.01,0.88,0.890,0.23,0.20,9.44
0.900,0.79,0.80,6.17,0.900,0.12,0.00,0.45,0.900,0.23,0.30,10.41
0.910,0.81,0.36,-54.31,0.910,0.12,0.00,0.00,0.910,0.23,0.41,-4.65
0.920,0.80,-0.29,-28.15,0.920,0.12,0.00,0.00,0.920,0.24,0.21,-8.05
0.930,0.80,-0.20,29.71,0.930,0.12,0.00,-0.05,0.930,0.24,0.25,22.29
0.940,0.80,0.31,44.02,0.940,0.12,-9.18E-4,1.18,0.940,0.24,0.66,35.79
0.950,0.81,0.68,-21.84,0.950,0.12,0.02,4.39,0.950,0.25,0.96,26.56
0.960,0.81,-0.13,-24.73,0.960,0.12,0.09,1.94,0.960,0.26,1.19,8.19
0.970,0.80,0.19,32.32,0.970,0.12,0.06,-4.35,0.970,0.27,1.13,-5.81
0.980,0.81,0.52,-13.32,0.980,0.12,0.00,-3.10,0.980,0.28,1.07,2.41
0.990,0.81,-0.08,-3.27,0.990,0.12,3.10E-4,-0.41,0.990,0.30,1.17,9.82
1.000,0.81,0.45,5.85,1.000,0.12,-0.01,-0.89,1.000,0.31,1.27,9.31
1.010,0.82,0.04,-20.47,1.010,0.12,-0.02,-0.03,1.010,0.32,1.36,9.77
1.020,0.81,0.04,46.03,1.020,0.12,-0.01,0.86,1.020,0.34,1.46,9.80
1.030,0.82,0.96,19.07,1.030,0.12,-3.10E-4,0.86,1.030,0.35,1.56,9.28
1.040,0.83,0.42,-45.15,1.040,0.12,0.01,1.05,1.040,0.37,1.65,9.75
1.050,0.83,0.06,-19.51,1.050,0.12,0.02,-4.25,1.050,0.38,1.75,9.79
1.060,0.83,0.03,-1.17,1.060,0.12,-0.08,-5.95,1.060,0.40,1.84,9.31
1.070,0.83,0.03,2.41,1.070,0.12,-0.10,4.13,1.070,0.42,1.94,9.30
1.080,0.84,0.08,-11.48,1.080,0.12,0.01,9.39,1.080,0.44,2.03,67.25
1.090,0.84,-0.20,7.97,1.090,0.12,0.09,-0.68,1.090,0.46,3.28,-422.06
1.100,0.83,0.24,16.13,1.100,0.12,-0.01,-6.28,1.100,0.51,-6.41,-28.87
1.110,0.84,0.13,-35.83,1.110,0.12,-0.04,1.29,1.110,0.33,2.71,308.92
1.120,0.83,-0.47,-21.23,1.120,0.12,0.02,1.29,1.120,0.56,-0.23,-85.74
1.130,0.83,-0.30,24.48,1.130,0.12,-0.01,1.31,1.130,0.33,0.99,696.03
1.140,0.83,0.02,5.52,1.140,0.12,0.04,1.04,1.140,0.58,13.69,84.27
1.150,0.83,-0.19,-35.93,1.150,0.12,0.01,-4.39,1.150,0.60,2.68,-534.47
1.160,0.82,-0.70,-20.86,1.160,0.12,-0.04,-1.97,1.160,0.63,3.00,10.16
1.170,0.82,-0.61,9.08,1.170,0.12,-0.03,4.23,1.170,0.66,2.88,-0.97
1.180,0.81,-0.52,8.97,1.180,0.12,0.04,29.91,1.180,0.69,2.98,10.24
1.190,0.81,-0.43,9.59,1.190,0.12,0.57,57.52,1.190,0.72,3.08,9.29
1.200,0.80,-0.33,8.86,1.200,0.13,1.19,41.27,1.200,0.75,3.17,8.69
1.210,0.80,-0.25,9.81,1.210,0.15,1.39,21.13,1.210,0.79,3.26,8.98
1.220,0.80,-0.13,10.83,1.220,0.16,1.61,15.39,1.220,0.82,3.35,18.52
1.230,0.80,-0.03,8.27,1.230,0.18,1.70,4.14,1.230,0.85,3.63,21.86
1.240,0.80,0.03,7.44,1.240,0.20,1.70,4.84,1.240,0.89,3.78,-160.89
1.250,0.80,0.12,8.72,1.250,0.21,1.80,9.30,1.250,0.93,0.41,-337.53
1.260,0.80,0.21,10.30,1.260,0.23,1.88,9.25,1.260,0.90,-2.97,-171.86
1.270,0.80,0.32,10.69,1.270,0.25,1.98,10.21,1.270,0.87,-3.03,2.33
1.280,0.81,0.42,10.40,1.280,0.27,2.09,9.32,1.280,0.84,-2.92,10.78
1.290,0.81,0.53,3.09,1.290,0.29,2.17,8.82,1.290,0.81,-2.81,9.80
1.300,0.82,0.48,-12.38,1.300,0.32,2.26,9.27,1.300,0.78,-2.73,9.05
1.310,0.82,0.28,4.12,1.310,0.34,2.36,9.22,1.310,0.76,-2.63,10.11
1.320,0.82,0.56,28.25,1.320,0.36,2.45,9.68,1.320,0.73,-2.52,10.28
1.330,0.83,0.85,-2.70,1.330,0.39,2.55,9.72,1.330,0.70,-2.42,9.23
1.340,0.84,0.51,-49.79,1.340,0.41,2.64,9.24,1.340,0.68,-2.34,9.05
1.350,0.84,-0.15,-37.11,1.350,0.44,2.73,9.17,1.350,0.66,-2.24,10.08
1.360,0.84,-0.23,2.15,1.360,0.47,2.83,9.65,1.360,0.64,-2.14,10.15
1.370,0.84,-0.11,-21.16,1.370,0.50,2.93,9.70,1.370,0.62,-2.04,9.56
1.380,0.83,-0.66,5.46,1.380,0.53,3.02,9.21,1.380,0.60,-1.95,10.12
1.390,0.82,0.00,24.04,1.390,0.56,3.11,9.20,1.390,0.58,-1.84,9.69
1.400,0.83,-0.17,-8.44,1.400,0.59,3.20,9.20,1.400,0.56,-1.75,9.03
1.410,0.82,-0.17,41.69,1.410,0.62,3.30,9.19,1.410,0.54,-1.66,10.03
1.420,0.83,0.66,16.44,1.420,0.65,3.39,9.09,1.420,0.53,-1.55,10.09
1.430,0.83,0.16,-40.24,1.430,0.69,3.48,9.69,1.430,0.51,-1.46,9.58
1.440,0.83,-0.15,-25.74,1.440,0.72,3.58,11.12,1.440,0.50,-1.36,9.57
1.450,0.83,-0.35,-17.06,1.450,0.76,3.70,8.73,1.450,0.48,-1.26,9.56
1.460,0.83,-0.49,0.29,1.460,0.80,3.76,4.24,1.460,0.47,-1.17,9.55
1.470,0.82,-0.35,23.35,1.470,0.84,3.79,-167.50,1.470,0.46,-1.07,9.55
1.480,0.82,-0.02,16.76,1.480,0.87,0.41,-275.27,1.480,0.45,-0.98,9.54
1.490,0.82,-0.01,-16.00,1.490,0.84,-1.72,23.95,1.490,0.44,-0.88,9.48
1.500,0.82,-0.34,12.02,1.500,0.84,0.89,217.80,1.500,0.43,-0.79,9.95
1.510,0.81,0.23,44.07,1.510,0.86,2.64,18.77,1.510,0.42,-0.68,10.05
1.520,0.82,0.54,-16.30,1.520,0.89,1.26,-124.26,1.520,0.42,-0.59,9.08
1.530,0.82,-0.10,-31.70,1.530,0.89,0.15,-144.09,1.530,0.41,-0.50,8.97
1.540,0.82,-0.09,18.26,1.540,0.90,-1.62,-119.42,1.540,0.41,-0.41,9.92
1.550,0.82,0.27,-3.81,1.550,0.85,-2.24,63.23,1.550,0.40,-0.30,9.97
1.560,0.83,-0.17,-53.93,1.560,0.85,-0.36,121.78,1.560,0.40,-0.21,9.48
1.570,0.82,-0.81,-11.29,1.570,0.85,0.20,131.60,1.570,0.40,-0.11,9.42
1.580,0.81,-0.39,24.86,1.580,0.85,2.28,-42.81,1.580,0.40,-0.02,9.89
1.590,0.81,-0.31,27.47,1.590,0.89,-0.66,-187.76,1.590,0.40,0.08,9.98
1.600,0.81,0.15,28.81,1.600,0.84,-1.48,151.30,1.600,0.40,0.18,8.96
1.610,0.81,0.26,-27.28,1.610,0.86,2.37,17.77,1.610,0.40,0.26,9.39
1.620,0.81,-0.39,-12.99,1.620,0.89,-1.12,-181.35,1.620,0.41,0.37,9.91
1.630,0.81,0.00,31.75,1.630,0.84,-1.26,136.79,1.630,0.41,0.46,9.37
1.640,0.81,0.24,-11.95,1.640,0.86,1.61,86.00,1.640,0.42,0.55,9.84
1.650,0.81,-0.24,-12.98,1.650,0.87,0.46,-75.53,1.650,0.42,0.66,9.88
1.660,0.81,-0.02,32.88,1.660,0.87,0.10,-44.75,1.660,0.43,0.75,9.40
1.670,0.81,0.42,-1.36,1.670,0.87,-0.43,-15.37,1.670,0.44,0.85,9.39
1.680,0.81,-0.04,-23.06,1.680,0.86,-0.21,58.04,1.680,0.45,0.94,9.32
1.690,0.81,-0.04,12.02,1.690,0.87,0.73,42.35,1.690,0.46,1.03,9.80
1.700,0.81,0.20,1.07,1.700,0.88,0.64,-26.20,1.700,0.47,1.14,9.91
1.710,0.81,-0.02,0.53,1.710,0.88,0.20,-40.97,1.710,0.48,1.23,8.87
1.720,0.81,0.21,-0.42,1.720,0.88,-0.18,-36.06,1.720,0.49,1.31,9.29
1.730,0.82,-0.03,-14.27,1.730,0.88,-0.52,-13.94,1.730,0.50,1.42,9.83
1.740,0.81,-0.08,12.78,1.740,0.87,-0.46,34.91,1.740,0.52,1.51,9.27
1.750,0.82,0.23,5.01,1.750,0.87,0.18,20.94,1.750,0.53,1.60,9.75
1.760,0.82,0.02,-12.13,1.760,0.88,-0.04,2.00,1.760,0.55,1.70,9.81
1.770,0.82,-0.01,-0.63,1.770,0.87,0.22,26.72,1.770,0.57,1.80,9.23
1.780,0.82,0.01,-1.31,1.780,0.88,0.50,-12.44,1.780,0.59,1.89,9.65
1.790,0.82,-0.04,7.74,1.790,0.88,-0.03,-89.22,1.790,0.61,1.99,10.30
1.800,0.82,0.17,11.52,1.800,0.88,-1.29,-125.84,1.800,0.63,2.10,9.36
1.810,0.82,0.19,-12.06,1.810,0.85,-2.55,-59.76,1.810,0.65,2.18,8.69
1.820,0.82,-0.08,8.61,1.820,0.83,-2.48,8.37,1.820,0.67,2.27,9.61
1.830,0.82,0.36,11.87,1.830,0.80,-2.38,10.63,1.830,0.69,2.37,10.20
1.840,0.83,0.16,-20.69,1.840,0.78,-2.27,10.09,1.840,0.72,2.47,9.67
1.850,0.82,-0.05,1.63,1.850,0.76,-2.18,10.07,1.850,0.74,2.56,9.87
1.860,0.83,0.19,5.15,1.860,0.74,-2.07,10.25,1.860,0.77,2.67,8.90
1.870,0.83,0.05,-11.76,1.870,0.72,-1.97,9.10,1.870,0.80,2.74,7.98
1.880,0.83,-0.04,-6.78,1.880,0.70,-1.89,9.52,1.880,0.82,2.83,13.69
1.890,0.83,-0.08,6.74,1.890,0.68,-1.78,10.13,1.890,0.85,3.02,32.22
1.900,0.83,0.09,5.28,1.900,0.66,-1.69,9.52,1.900,0.88,3.47,-107.25
1.910,0.83,0.02,-9.34,1.910,0.65,-1.59,9.94,1.910,0.92,0.87,-294.00
1.920,0.83,-0.09,5.07,1.920,0.63,-1.49,10.53,1.920,0.90,-2.41,-176.12
1.930,0.83,0.12,11.56,1.930,0.62,-1.38,10.09,1.930,0.87,-2.65,-6.93
1.940,0.83,0.14,-7.13,1.940,0.60,-1.29,9.56,1.940,0.85,-2.54,10.22
1.950,0.83,-0.02,-14.33,1.950,0.59,-1.19,9.49,1.950,0.82,-2.45,11.62
1.960,0.83,-0.15,-7.42,1.960,0.58,-1.10,9.98,1.960,0.80,-2.31,-0.89
1.970,0.83,-0.17,2.54,1.970,0.57,-0.99,10.05,1.970,0.78,-2.47,5.73
1.980,0.83,-0.10,26.32,1.980,0.56,-0.89,9.53,1.980,0.75,-2.20,30.81
1.990,0.82,0.36,16.00,1.990,0.55,-0.80,9.52,1.990,0.73,-1.85,11.07
2.000,0.83,0.22,-30.23,2.000,0.54,-0.70,9.45,2.000,0.71,-1.98,-1.10
2.010,0.83,-0.24,-2.38,2.010,0.54,-0.61,9.94,2.010,0.69,-1.87,10.65
2.020,0.83,0.17,8.81,2.020,0.53,-0.51,10.00,2.020,0.68,-1.76,9.69
2.030,0.83,-0.07,-9.92,2.030,0.53,-0.41,9.56,2.030,0.66,-1.68,9.00
2.040,0.83,-0.02,4.90,2.040,0.52,-0.31,8.99,2.040,0.64,-1.58,10.02
